Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Fluminense,2014,9,6,4,31,19,0,F
Internacional,2014,10,5,4,25,16,0,F
Chapecoense,2014,5,9,5,13,20,1,F
Bahia,2014,3,8,8,11,17,0,R
Sao Paulo,2014,10,3,6,31,20,0,F
Athletico-PR,2014,6,6,7,25,26,0,F
Atletico-MG,2014,8,5,6,24,19,0,F
Flamengo,2014,7,8,4,16,23,0,F
Santos,2014,7,7,5,21,15,0,F
Criciuma,2014,4,9,6,9,25,0,R
Coritiba,2014,3,8,8,14,18,0,F
Palmeiras,2014,5,11,3,15,25,1,F
Vitoria,2014,3,10,6,17,27,0,R
Cruzeiro,2014,13,2,4,41,18,0,F
Botafogo-RJ,2014,7,9,3,19,18,0,R
Corinthians,2014,8,3,8,23,12,0,F
Sport,2014,8,7,4,16,23,1,F
Figueirense,2014,7,9,3,17,25,1,F
Gremio,2014,9,6,4,17,14,0,F
Goias,2014,6,7,6,14,19,0,F
