Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Botafogo-RJ,2004,3,8,8,23,31,1,F
Figueirense,2004,8,3,8,25,15,0,F
Sao Caetano,2004,8,6,5,22,15,0,F
Cruzeiro,2004,8,8,3,25,28,0,F
Palmeiras,2004,8,4,7,30,14,1,F
Gremio,2004,5,8,6,29,28,0,R
Ponte Preta,2004,10,7,2,18,25,0,F
Parana,2004,5,9,5,17,31,0,F
Coritiba,2004,5,6,8,20,21,0,F
Vasco,2004,7,7,5,31,25,0,F
Paysandu,2004,4,9,6,24,32,0,F
Sao Paulo,2004,10,5,4,25,19,0,F
Flamengo,2004,3,8,8,17,24,0,F
Goias,2004,8,5,6,35,33,0,F
Juventude,2004,9,7,3,25,24,0,F
Internacional,2004,8,8,3,26,23,0,F
Atletico-MG,2004,4,6,9,24,27,0,F
Fluminense,2004,7,6,6,23,25,0,F
Corinthians,2004,6,7,6,18,30,0,F
Guarani,2004,5,10,4,16,25,0,R
Athletico-PR,2004,9,7,3,34,25,0,F
Vitoria,2004,7,8,4,33,31,0,R
Criciuma,2004,7,7,5,32,32,0,R
Santos,2004,11,6,2,41,30,0,F
