Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Atletico-MG,2011,4,12,3,24,38,0,F
Flamengo,2011,9,1,9,33,21,0,F
Ceara,2011,7,8,4,27,28,0,R
Santos,2011,6,9,4,23,29,0,F
Palmeiras,2011,8,3,8,25,14,0,F
Gremio,2011,6,7,6,19,23,0,F
Coritiba,2011,7,7,5,32,24,1,F
Figueirense,2011,7,7,5,21,24,1,F
Fluminense,2011,8,10,1,22,22,0,F
America-MG,2011,2,10,7,22,37,1,R
Internacional,2011,7,6,6,28,24,0,F
Botafogo-RJ,2011,10,5,4,29,19,0,F
Avai,2011,4,10,5,21,40,0,R
Sao Paulo,2011,10,4,5,30,23,0,F
Corinthians,2011,11,4,4,30,18,0,F
Bahia,2011,4,7,8,21,27,1,F
Athletico-PR,2011,4,9,6,20,28,0,R
Cruzeiro,2011,8,8,3,26,20,0,F
Vasco,2011,10,4,5,26,21,0,F
Atletico-GO,2011,7,8,4,22,21,0,F
