Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Botafogo-RJ,2010,8,4,7,30,20,0,F
Atletico-GO,2010,4,10,5,22,26,1,F
Palmeiras,2010,5,5,9,21,22,0,F
Flamengo,2010,5,7,7,14,15,0,F
Atletico-MG,2010,5,12,2,23,34,0,F
Internacional,2010,9,6,4,24,20,0,F
Corinthians,2010,11,4,4,34,21,0,F
Ceara,2010,6,6,7,15,15,1,F
Guarani,2010,6,5,8,22,24,1,R
Avai,2010,6,8,5,28,29,0,F
Fluminense,2010,11,3,5,32,16,0,F
Gremio Prudente,2010,4,8,7,19,25,1,R
Vitoria,2010,5,7,7,22,26,0,R
Santos,2010,10,5,4,30,22,0,F
Sao Paulo,2010,6,6,7,25,25,0,F
Goias,2010,3,12,4,16,37,0,R
Gremio,2010,4,7,8,23,26,0,F
Vasco,2010,7,4,8,21,18,1,F
Cruzeiro,2010,8,4,7,22,17,0,F
Athletico-PR,2010,8,8,3,23,28,0,F
