Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Palmeiras,2023,9,3,7,34,17,0,F
America-MG,2023,2,13,4,19,42,0,R
Bragantino,2023,8,3,8,27,17,0,F
Athletico-PR,2023,9,6,4,28,22,0,F
Fortaleza,2023,7,7,5,21,19,0,F
Botafogo-RJ,2023,15,2,2,35,11,0,F
Atletico-MG,2023,7,6,6,22,17,0,F
Flamengo,2023,9,5,5,31,24,0,F
Corinthians,2023,6,7,6,24,25,0,F
Gremio,2023,10,5,4,32,27,1,F
Fluminense,2023,9,6,4,25,19,0,F
Cuiaba,2023,8,7,4,21,21,0,F
Sao Paulo,2023,7,6,6,24,19,0,F
Cruzeiro,2023,6,7,6,19,16,1,F
Internacional,2023,6,7,6,17,23,0,F
Santos,2023,4,9,6,19,31,0,R
Vasco,2023,4,11,4,15,29,1,F
Coritiba,2023,3,11,5,18,36,0,R
Goias,2023,6,9,4,18,27,0,R
Bahia,2023,4,9,6,18,25,1,F
