Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Juventude,2006,6,8,5,20,22,0,F
Vasco,2006,8,6,5,26,27,0,F
Sao Paulo,2006,11,3,5,32,21,0,F
Gremio,2006,8,6,5,30,26,1,F
Botafogo-RJ,2006,4,6,9,21,23,0,F
Sao Caetano,2006,6,6,7,23,23,0,R
Palmeiras,2006,7,8,4,29,32,0,F
Santa Cruz,2006,4,9,6,23,33,1,R
Athletico-PR,2006,6,9,4,25,24,0,F
Goias,2006,5,8,6,22,26,0,F
Corinthians,2006,6,11,2,20,28,0,F
Fluminense,2006,8,6,5,30,30,0,F
Figueirense,2006,7,6,6,29,25,0,F
Internacional,2006,9,3,7,27,21,0,F
Santos,2006,9,5,5,27,17,0,F
Ponte Preta,2006,6,9,4,27,39,0,R
Flamengo,2006,6,8,5,17,21,0,F
Cruzeiro,2006,7,6,6,29,21,0,F
Parana,2006,9,6,4,35,25,0,F
Fortaleza,2006,4,7,8,20,28,0,R
