Time,Temporada,V,D,E,GF,GT,Subiu,Situação,Permanecimento
Fluminense,2008,4,11,4,21,29,0,F,5
Goias,2008,6,8,5,23,28,0,F,5
Figueirense,2008,6,6,7,24,35,0,R,5
Palmeiras,2008,10,5,4,32,21,0,F,4
Santos,2008,4,10,5,21,33,0,F,5
Sport,2009,3,12,4,24,37,0,R,2
Palmeiras,2009,10,2,7,31,17,0,F,5
Avai,2009,8,5,6,28,22,1,F,0
Corinthians,2009,8,7,4,23,23,1,F,0
Fluminense,2009,3,10,6,21,32,0,F,5
Athletico-PR,2009,7,9,3,21,29,0,F,5
Cruzeiro,2009,6,9,4,19,28,0,F,5
Gremio,2009,8,7,4,33,22,0,F,3
Santo Andre,2009,4,9,6,21,29,1,R,0
Goias,2009,10,4,5,37,26,0,F,5
Coritiba,2009,5,10,4,26,32,0,R,1
Atletico-MG,2009,9,5,5,32,25,0,F,2
Flamengo,2009,7,6,6,28,31,0,F,5
Santos,2009,6,5,8,34,34,0,F,5
Sao Paulo,2009,9,4,6,28,21,0,F,5
Barueri,2009,7,5,7,38,28,1,F,0
Internacional,2009,11,4,4,37,23,0,F,5
Botafogo-RJ,2009,4,6,9,26,31,0,F,5
Vitoria,2009,7,8,4,27,29,0,F,1
Nautico,2009,4,9,6,22,37,0,R,2
Botafogo-RJ,2010,8,4,7,30,20,0,F,5
Atletico-GO,2010,4,10,5,22,26,1,F,0
Palmeiras,2010,5,5,9,21,22,0,F,5
Flamengo,2010,5,7,7,14,15,0,F,5
Atletico-MG,2010,5,12,2,23,34,0,F,3
Internacional,2010,9,6,4,24,20,0,F,5
Corinthians,2010,11,4,4,34,21,0,F,1
Ceara,2010,6,6,7,15,15,1,F,0
Guarani,2010,6,5,8,22,24,1,R,0
Avai,2010,6,8,5,28,29,0,F,1
Fluminense,2010,11,3,5,32,16,0,F,5
Gremio Prudente,2010,4,8,7,19,25,1,R,0
Vitoria,2010,5,7,7,22,26,0,R,2
Santos,2010,10,5,4,30,22,0,F,5
Sao Paulo,2010,6,6,7,25,25,0,F,5
Goias,2010,3,12,4,16,37,0,R,5
Gremio,2010,4,7,8,23,26,0,F,4
Vasco,2010,7,4,8,21,18,1,F,0
Cruzeiro,2010,8,4,7,22,17,0,F,5
Athletico-PR,2010,8,8,3,23,28,0,F,5
Atletico-MG,2011,4,12,3,24,38,0,F,4
Flamengo,2011,9,1,9,33,21,0,F,5
Ceara,2011,7,8,4,27,28,0,R,1
Santos,2011,6,9,4,23,29,0,F,5
Palmeiras,2011,8,3,8,25,14,0,F,5
Gremio,2011,6,7,6,19,23,0,F,5
Coritiba,2011,7,7,5,32,24,1,F,0
Figueirense,2011,7,7,5,21,24,1,F,0
Fluminense,2011,8,10,1,22,22,0,F,5
America-MG,2011,2,10,7,22,37,1,R,0
Internacional,2011,7,6,6,28,24,0,F,5
Botafogo-RJ,2011,10,5,4,29,19,0,F,5
Avai,2011,4,10,5,21,40,0,R,2
Sao Paulo,2011,10,4,5,30,23,0,F,5
Corinthians,2011,11,4,4,30,18,0,F,2
Bahia,2011,4,7,8,21,27,1,F,0
Athletico-PR,2011,4,9,6,20,28,0,R,5
Cruzeiro,2011,8,8,3,26,20,0,F,5
Vasco,2011,10,4,5,26,21,0,F,1
Atletico-GO,2011,7,8,4,22,21,0,F,1
Palmeiras,2012,4,11,4,18,23,0,R,5
Sport,2012,3,10,6,13,26,1,R,0
Figueirense,2012,3,11,5,18,33,0,R,1
Corinthians,2012,6,7,6,20,20,0,F,3
Internacional,2012,8,4,7,22,15,0,F,5
Botafogo-RJ,2012,8,7,4,30,24,0,F,5
Ponte Preta,2012,6,8,5,21,26,1,F,0
Cruzeiro,2012,8,7,4,24,27,0,F,5
Bahia,2012,3,8,8,15,24,0,F,1
Vasco,2012,10,4,5,25,17,0,F,2
Atletico-GO,2012,3,9,7,20,33,0,R,2
Flamengo,2012,8,6,5,23,23,0,F,5
Portuguesa,2012,5,7,7,17,21,1,F,0
Nautico,2012,7,9,3,24,29,1,F,0
Sao Paulo,2012,10,8,1,29,24,0,F,5
Atletico-MG,2012,13,2,4,34,15,0,F,5
Coritiba,2012,5,10,4,31,37,0,F,1
Santos,2012,6,5,8,23,23,0,F,5
Gremio,2012,12,6,1,29,16,0,F,5
Fluminense,2012,12,1,6,31,11,0,F,5
Vitoria,2013,6,8,5,23,27,1,F,0
Vasco,2013,6,7,6,29,32,0,R,3
Corinthians,2013,7,3,9,19,8,0,F,4
Gremio,2013,10,5,4,26,19,0,F,5
Criciuma,2013,7,10,2,25,31,1,F,0
Ponte Preta,2013,4,12,3,20,34,0,R,1
Santos,2013,7,4,8,23,16,0,F,5
Coritiba,2013,7,5,7,23,20,0,F,2
Cruzeiro,2013,12,3,4,42,18,0,F,5
Fluminense,2013,6,9,4,22,26,0,F,5
Athletico-PR,2013,9,3,7,34,24,1,F,0
Botafogo-RJ,2013,10,3,6,32,21,0,F,5
Sao Paulo,2013,4,9,6,17,22,0,F,5
Flamengo,2013,5,7,7,19,23,0,F,5
Bahia,2013,6,8,5,18,24,0,F,2
Nautico,2013,2,13,4,10,33,0,R,1
Goias,2013,6,5,8,19,22,1,F,0
Internacional,2013,7,3,9,32,27,0,F,5
Atletico-MG,2013,6,6,7,22,22,0,F,5
Portuguesa,2013,4,8,7,26,32,0,R,1
Fluminense,2014,9,6,4,31,19,0,F,5
Internacional,2014,10,5,4,25,16,0,F,5
Chapecoense,2014,5,9,5,13,20,1,F,0
Bahia,2014,3,8,8,11,17,0,R,3
Sao Paulo,2014,10,3,6,31,20,0,F,5
Athletico-PR,2014,6,6,7,25,26,0,F,1
Atletico-MG,2014,8,5,6,24,19,0,F,5
Flamengo,2014,7,8,4,16,23,0,F,5
Santos,2014,7,7,5,21,15,0,F,5
Criciuma,2014,4,9,6,9,25,0,R,1
Coritiba,2014,3,8,8,14,18,0,F,3
Palmeiras,2014,5,11,3,15,25,1,F,0
Vitoria,2014,3,10,6,17,27,0,R,1
Cruzeiro,2014,13,2,4,41,18,0,F,5
Botafogo-RJ,2014,7,9,3,19,18,0,R,5
Corinthians,2014,8,3,8,23,12,0,F,5
Sport,2014,8,7,4,16,23,1,F,0
Figueirense,2014,7,9,3,17,25,1,F,0
Gremio,2014,9,6,4,17,14,0,F,5
Goias,2014,6,7,6,14,19,0,F,1
Chapecoense,2015,8,7,4,17,17,0,F,1
Palmeiras,2015,9,6,4,32,18,0,F,1
Fluminense,2015,10,6,3,22,18,0,F,5
Gremio,2015,11,5,3,29,17,0,F,5
Cruzeiro,2015,6,9,4,15,17,0,F,5
Sport,2015,7,2,10,31,21,0,F,1
Athletico-PR,2015,9,7,3,23,21,0,F,2
Sao Paulo,2015,9,6,4,25,21,0,F,5
Vasco,2015,3,12,4,8,31,1,R,0
Avai,2015,5,9,5,18,28,1,R,0
Goias,2015,4,8,7,16,16,0,R,2
Coritiba,2015,4,9,6,13,23,0,F,4
Corinthians,2015,12,3,4,27,14,0,F,5
Figueirense,2015,5,9,5,18,26,0,F,1
Atletico-MG,2015,11,5,3,33,18,0,F,5
