Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Internacional,2024,7,5,7,19,17,0,F
Criciuma,2024,6,7,6,27,28,1,R
Fluminense,2024,4,10,5,15,24,0,F
Sao Paulo,2024,9,5,5,28,20,0,F
Athletico-PR,2024,8,7,4,21,18,0,R
Vasco,2024,8,9,2,21,28,0,F
Atletico-GO,2024,2,11,6,16,29,1,R
Corinthians,2024,4,8,7,17,25,0,F
Cruzeiro,2024,10,6,3,25,20,0,F
Vitoria,2024,4,12,3,20,32,1,F
Bahia,2024,9,6,4,28,23,0,F
Gremio,2024,4,12,3,16,26,0,F
Bragantino,2024,7,7,5,24,23,0,F
Atletico-MG,2024,7,5,7,27,27,0,F
Fortaleza,2024,9,4,6,24,20,0,F
Juventude,2024,5,7,7,20,24,1,F
Palmeiras,2024,11,5,3,27,14,0,F
Flamengo,2024,11,3,5,33,20,0,F
Botafogo-RJ,2024,12,3,4,31,16,0,F
Cuiaba,2024,4,9,6,18,23,0,R
