Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Figueirense,2007,6,7,6,28,32,0,F
Sao Paulo,2007,12,4,3,24,8,0,F
Fluminense,2007,6,5,8,21,15,0,F
Flamengo,2007,8,6,5,31,30,0,F
Internacional,2007,8,8,3,26,25,0,F
Parana,2007,6,7,6,21,23,0,R
Atletico-MG,2007,7,8,4,29,28,1,F
Corinthians,2007,6,5,8,22,24,0,R
America-RN,2007,3,15,1,16,42,1,R
Sport,2007,8,8,3,33,34,1,F
Juventude,2007,4,11,4,19,35,0,R
Athletico-PR,2007,5,7,7,29,28,0,F
Santos,2007,8,8,3,27,26,0,F
Cruzeiro,2007,10,7,2,41,36,0,F
Goias,2007,9,8,2,28,25,0,F
Palmeiras,2007,8,5,6,25,23,0,F
Botafogo-RJ,2007,9,4,6,38,27,0,F
Gremio,2007,8,7,4,18,20,0,F
Nautico,2007,5,9,5,28,34,1,F
Vasco,2007,9,6,4,34,23,0,F
