Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Vitoria,2013,6,8,5,23,27,1,F
Vasco,2013,6,7,6,29,32,0,R
Corinthians,2013,7,3,9,19,8,0,F
Gremio,2013,10,5,4,26,19,0,F
Criciuma,2013,7,10,2,25,31,1,F
Ponte Preta,2013,4,12,3,20,34,0,R
Santos,2013,7,4,8,23,16,0,F
Coritiba,2013,7,5,7,23,20,0,F
Cruzeiro,2013,12,3,4,42,18,0,F
Fluminense,2013,6,9,4,22,26,0,F
Athletico-PR,2013,9,3,7,34,24,1,F
Botafogo-RJ,2013,10,3,6,32,21,0,F
Sao Paulo,2013,4,9,6,17,22,0,F
Flamengo,2013,5,7,7,19,23,0,F
Bahia,2013,6,8,5,18,24,0,F
Nautico,2013,2,13,4,10,33,0,R
Goias,2013,6,5,8,19,22,1,F
Internacional,2013,7,3,9,32,27,0,F
Atletico-MG,2013,6,6,7,22,22,0,F
Portuguesa,2013,4,8,7,26,32,0,R
