Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Fluminense,2022,10,5,4,29,20,0,F
Atletico-GO,2022,4,10,5,18,28,0,R
Palmeiras,2022,11,2,6,31,13,0,F
Coritiba,2022,6,9,4,22,30,1,F
Botafogo-RJ,2022,7,9,3,19,24,1,F
Atletico-MG,2022,8,3,8,27,20,0,F
Fortaleza,2022,3,10,6,15,23,0,F
Avai,2022,6,10,3,20,30,1,R
Sao Paulo,2022,5,3,11,28,24,0,F
Juventude,2022,3,9,7,16,32,0,R
Goias,2022,5,7,7,21,25,1,F
Corinthians,2022,10,4,5,24,19,0,F
America-MG,2022,6,10,3,13,22,0,F
Cuiaba,2022,5,9,5,14,20,0,F
Santos,2022,6,5,8,22,16,0,F
Flamengo,2022,9,7,3,26,18,0,F
Athletico-PR,2022,9,6,4,24,20,0,F
Internacional,2022,7,3,9,27,20,0,F
Bragantino,2022,7,6,6,30,23,0,F
Ceara,2022,5,5,9,20,19,0,R
