Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Nautico,2008,6,10,3,20,29,0,F
Sao Paulo,2008,9,4,6,33,21,0,F
Vitoria,2008,10,7,2,30,21,1,F
Coritiba,2008,9,5,5,29,19,1,F
Internacional,2008,7,7,5,21,20,0,F
Botafogo-RJ,2008,9,6,4,29,19,0,F
Ipatinga,2008,4,11,4,20,34,1,R
Portuguesa,2008,6,9,4,26,39,1,R
Atletico-MG,2008,6,7,6,25,37,0,F
Flamengo,2008,9,6,4,30,19,0,F
Cruzeiro,2008,11,5,3,32,19,0,F
Sport,2008,8,8,3,21,24,0,F
Vasco,2008,5,10,4,30,39,0,R
Gremio,2008,12,2,5,35,12,0,F
Athletico-PR,2008,5,9,5,17,21,0,F
Fluminense,2008,4,11,4,21,29,0,F
Goias,2008,6,8,5,23,28,0,F
Figueirense,2008,6,6,7,24,35,0,R
Palmeiras,2008,10,5,4,32,21,0,F
Santos,2008,4,10,5,21,33,0,F
