Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Flamengo,2017,7,4,8,27,19,0,F
Corinthians,2017,14,0,5,32,9,0,F
Fluminense,2017,6,5,8,29,27,0,F
Cruzeiro,2017,7,6,6,21,16,0,F
Ponte Preta,2017,6,8,5,20,24,0,R
Avai,2017,4,9,6,10,25,1,R
Bahia,2017,6,8,5,24,24,1,F
Palmeiras,2017,10,7,2,28,20,0,F
Gremio,2017,12,4,3,35,18,0,F
Coritiba,2017,7,8,4,21,25,0,R
Santos,2017,10,4,5,22,13,0,F
Atletico-GO,2017,3,13,3,16,34,1,R
Chapecoense,2017,6,9,4,24,33,0,F
Vasco,2017,7,9,3,21,30,1,F
Vitoria,2017,5,10,4,21,30,0,F
Athletico-PR,2017,7,7,5,21,22,0,F
Atletico-MG,2017,6,8,5,19,23,0,F
Botafogo-RJ,2017,6,6,7,21,20,0,F
Sport,2017,8,7,4,30,26,0,F
Sao Paulo,2017,5,10,4,22,26,0,F
