Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Sao Paulo,2019,8,3,8,21,13,0,F
Atletico-MG,2019,8,8,3,24,23,0,F
Chapecoense,2019,3,11,5,17,32,0,R
Flamengo,2019,13,3,3,42,18,0,F
Gremio,2019,7,5,7,27,22,0,F
Ceara,2019,6,9,4,21,20,0,F
Bahia,2019,8,4,7,22,16,0,F
Athletico-PR,2019,8,9,2,25,19,0,F
Palmeiras,2019,11,2,6,30,14,0,F
Fluminense,2019,5,11,3,21,29,0,F
CSA,2019,3,9,7,8,25,1,R
Internacional,2019,10,6,3,25,17,0,F
Corinthians,2019,8,3,8,21,12,0,F
Cruzeiro,2019,4,9,6,16,28,0,R
Avai,2019,2,10,7,10,25,1,R
Goias,2019,6,10,3,17,32,1,F
Vasco,2019,6,8,5,18,26,0,F
Fortaleza,2019,6,9,4,22,26,1,F
Santos,2019,11,4,4,30,19,0,F
Botafogo-RJ,2019,8,8,3,18,19,0,F
