Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Parana,2005,9,4,6,30,19,0,F
Atletico-MG,2005,3,12,4,25,32,0,R
Sao Caetano,2005,9,6,4,27,24,0,F
Flamengo,2005,5,9,5,22,28,0,F
Internacional,2005,9,6,4,29,25,0,F
Fortaleza,2005,8,8,3,22,25,1,F
Fluminense,2005,10,5,4,30,21,0,F
Corinthians,2005,12,5,2,40,33,0,F
Athletico-PR,2005,6,9,4,28,30,0,F
Brasiliense,2005,5,8,6,22,29,1,R
Santos,2005,8,6,5,33,26,0,F
Goias,2005,10,6,3,28,22,0,F
Vasco,2005,6,9,4,35,46,0,F
Palmeiras,2005,8,7,4,33,28,0,F
Ponte Preta,2005,10,6,3,31,25,0,F
Sao Paulo,2005,4,9,6,25,30,0,F
Cruzeiro,2005,7,5,7,37,33,0,F
Juventude,2005,7,6,6,30,30,0,F
Figueirense,2005,3,8,8,22,33,0,F
Botafogo-RJ,2005,9,8,2,27,26,0,F
Coritiba,2005,8,7,4,27,26,0,R
Paysandu,2005,4,11,4,27,39,0,R
