Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Cruzeiro,2018,7,7,5,15,16,0,F
Vitoria,2018,5,10,4,20,39,0,R
Santos,2018,5,8,6,21,23,0,F
America-MG,2018,6,9,4,18,24,1,R
Vasco,2018,5,8,6,23,29,0,F
Internacional,2018,11,3,5,27,12,1,F
Corinthians,2018,7,7,5,22,16,0,F
Athletico-PR,2018,5,8,6,21,19,0,F
Sao Paulo,2018,12,2,5,32,16,0,F
Botafogo-RJ,2018,5,7,7,18,25,0,F
Bahia,2018,6,6,7,22,23,0,F
Flamengo,2018,11,4,4,29,15,0,F
Parana,2018,3,11,5,9,25,1,R
Ceara,2018,3,9,7,11,22,1,F
Atletico-MG,2018,10,6,3,36,26,0,F
Fluminense,2018,6,8,5,19,24,0,F
Chapecoense,2018,4,6,9,19,26,0,F
Palmeiras,2018,9,4,6,29,15,0,F
Gremio,2018,10,3,6,23,8,0,F
Sport,2018,5,9,5,19,30,0,R
