Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Guarani,2003,7,8,4,31,30,0,F
Athletico-PR,2003,6,9,4,26,28,0,F
Flamengo,2003,6,7,6,25,31,0,F
Goias,2003,2,10,7,27,34,0,F
Internacional,2003,8,6,5,26,26,0,F
Criciuma,2003,9,7,3,23,23,1,F
Juventude,2003,3,10,6,18,36,0,F
Fortaleza,2003,5,10,4,20,27,1,R
Cruzeiro,2003,12,3,4,40,21,0,F
Vitoria,2003,7,7,5,24,30,0,F
Santos,2003,11,4,4,34,18,0,F
Corinthians,2003,6,6,7,34,26,0,F
Fluminense,2003,6,9,4,23,31,0,F
Atletico-MG,2003,8,4,7,33,25,0,F
Coritiba,2003,10,6,3,30,23,0,F
Gremio,2003,5,10,4,22,28,0,F
Bahia,2003,6,8,5,22,27,0,R
Figueirense,2003,7,6,6,25,23,0,F
Paysandu,2003,6,8,5,32,37,0,R
Ponte Preta,2003,6,6,7,27,27,0,R
Parana,2003,8,7,4,36,30,0,F
Sao Caetano,2003,6,4,9,18,18,0,F
Sao Paulo,2003,11,3,5,38,27,0,F
Vasco,2003,5,8,6,25,33,0,F
