Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Sport,2020,7,9,3,19,26,1,F
Coritiba,2020,5,10,4,16,24,1,R
Fortaleza,2020,6,6,7,17,14,0,F
Flamengo,2020,10,4,5,33,25,0,F
Santos,2020,8,5,6,27,23,0,F
Gremio,2020,7,3,9,23,18,0,F
Athletico-PR,2020,5,10,4,15,20,0,F
Bragantino,2020,4,8,7,22,26,1,F
Atletico-MG,2020,10,7,2,31,25,0,F
Bahia,2020,6,9,4,25,29,0,F
Atletico-GO,2020,5,7,7,17,25,1,F
Ceara,2020,6,7,6,24,27,0,F
Fluminense,2020,9,5,5,29,21,0,F
Sao Paulo,2020,10,2,7,32,15,0,F
Internacional,2020,10,4,5,30,16,0,F
Vasco,2020,5,8,6,21,26,0,R
Palmeiras,2020,7,4,8,26,21,0,F
Goias,2020,2,11,6,21,36,0,R
Corinthians,2020,6,7,6,22,26,0,F
Botafogo-RJ,2020,3,5,11,19,26,0,R
