Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Palmeiras,2012,4,11,4,18,23,0,R
Sport,2012,3,10,6,13,26,1,R
Figueirense,2012,3,11,5,18,33,0,R
Corinthians,2012,6,7,6,20,20,0,F
Internacional,2012,8,4,7,22,15,0,F
Botafogo-RJ,2012,8,7,4,30,24,0,F
Ponte Preta,2012,6,8,5,21,26,1,F
Cruzeiro,2012,8,7,4,24,27,0,F
Bahia,2012,3,8,8,15,24,0,F
Vasco,2012,10,4,5,25,17,0,F
Atletico-GO,2012,3,9,7,20,33,0,R
Flamengo,2012,8,6,5,23,23,0,F
Portuguesa,2012,5,7,7,17,21,1,F
Nautico,2012,7,9,3,24,29,1,F
Sao Paulo,2012,10,8,1,29,24,0,F
Atletico-MG,2012,13,2,4,34,15,0,F
Coritiba,2012,5,10,4,31,37,0,F
Santos,2012,6,5,8,23,23,0,F
Gremio,2012,12,6,1,29,16,0,F
Fluminense,2012,12,1,6,31,11,0,F
