Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Cuiaba,2021,5,5,9,19,19,1,F
Bahia,2021,6,10,3,24,32,0,R
Sao Paulo,2021,5,6,8,15,20,0,F
Atletico-MG,2021,13,3,3,29,14,0,F
Ceara,2021,5,5,9,20,21,0,F
Flamengo,2021,11,5,3,38,20,0,F
Chapecoense,2021,0,12,7,15,31,1,R
Corinthians,2021,7,5,7,18,16,0,F
Athletico-PR,2021,7,8,4,25,23,0,F
Internacional,2021,5,5,9,23,23,0,F
Atletico-GO,2021,6,6,7,15,19,0,F
Santos,2021,5,7,7,20,25,0,F
Bragantino,2021,8,2,9,30,20,0,F
Fluminense,2021,6,6,7,18,20,0,F
America-MG,2021,4,8,7,15,22,1,F
Fortaleza,2021,9,4,6,29,20,0,F
Palmeiras,2021,12,5,2,31,21,0,F
Juventude,2021,5,6,8,16,21,1,F
Sport,2021,3,8,8,8,14,0,R
Gremio,2021,4,10,5,15,22,0,R
