Time,Temporada,V,D,E,GF,GT,Subiu,Situação
Sport,2009,3,12,4,24,37,0,R
Palmeiras,2009,10,2,7,31,17,0,F
Avai,2009,8,5,6,28,22,1,F
Corinthians,2009,8,7,4,23,23,1,F
Fluminense,2009,3,10,6,21,32,0,F
Athletico-PR,2009,7,9,3,21,29,0,F
Cruzeiro,2009,6,9,4,19,28,0,F
Gremio,2009,8,7,4,33,22,0,F
Santo Andre,2009,4,9,6,21,29,1,R
Goias,2009,10,4,5,37,26,0,F
Coritiba,2009,5,10,4,26,32,0,R
Atletico-MG,2009,9,5,5,32,25,0,F
Flamengo,2009,7,6,6,28,31,0,F
Santos,2009,6,5,8,34,34,0,F
Sao Paulo,2009,9,4,6,28,21,0,F
Barueri,2009,7,5,7,38,28,1,F
Internacional,2009,11,4,4,37,23,0,F
Botafogo-RJ,2009,4,6,9,26,31,0,F
Vitoria,2009,7,8,4,27,29,0,F
Nautico,2009,4,9,6,22,37,0,R
